id,question,A,B,C,Answerkey
1,What's your name?,My name is Abu.,I'm fine.,He is Edison.,A
2,How are you?,I'm fine.,I'm ten.,Thank you.,A
3,How old are you?,I'm ten years old.,You're welcome.,It's a pencil.,A
4,What's this?,It's a book.,I'm Mia.,"No, it isn't.",A
5,What color is it?,It's blue.,It's an eraser.,"Yes, it is.",A
6,What's that?,It's an eraser.,I can swim.,I'm Rocky.,A
7,Is that a dog?,"Yes, it is.","Yes, I am.","No, I can't.",A
8,What can you do?,I can dance.,She is tall.,It's a big dog.,A
9,Can you swim?,"Yes, I can.","No, he isn't.","Yes, it is.",A
10,Who's he?,He's my father.,She's my mother.,I'm fine.,A
11,Who's she?,She's my sister.,He's my brother.,It's a cat.,A
12,Are you a student?,"Yes, I am.","Yes, he is.","No, it isn't.",A
13,Is he a teacher?,"No, he's not.","Yes, she is.",I'm a student.,A
14,Is she a doctor?,"Yes, she is.","Yes, he is.","No, I'm not.",A
15,What's your name?,I am Mia.,I'm eight.,He is Rocky.,A
16,How old are you?,I'm seven.,Thank you.,It's seven.,A
17,What color is it?,It's green.,It's a ruler.,I'm fine.,A
18,Is it a big dog?,"Yes, it is.","Yes, I am.","No, he's not.",A
19,What can you do?,I can draw.,He can sing.,She is a nurse.,A
20,Can you jump?,"No, I can't.","No, it's not.","Yes, he is.",A
21,Who's she?,She's my mother.,He's my father.,I'm Amber.,A
22,Is he tall?,"Yes, he is.","Yes, she is.","No, it's not.",A
23,Is she short?,"No, she's not.","No, he isn't.","Yes, I can.",A
24,Is he a cook?,"Yes, he is.","No, she's not.",I'm a cook.,A
25,Is she a nurse?,"No, she's not.","No, he's not.","Yes, I am.",A
26,What's that?,It's a marker.,I'm ten.,It's red.,A
27,What's your name?,I'm Teddy.,I'm fine.,It's Teddy.,A
28,How old are you?,I'm nine years old.,You're welcome.,He is nine.,A
29,What color is it?,It's yellow.,It's a yellow eraser.,"No, it isn't.",A
30,Is that a cat?,"No, it's not.","No, I'm not.",He's my brother.,A
31,What can you do?,I can read.,She is my mother.,It's a book.,A
32,Can you sing?,"Yes, I can.","Yes, it is.","No, she isn't.",A
33,Who's he?,He's my grandfather.,She's my grandmother.,I'm a boy.,A
34,Is he a driver?,"Yes, he is.","No, I'm not.",It's a big car.,A
35,Are you a teacher?,"No, I'm not.","No, he's not.","Yes, she is.",A
36,What's this?,It's a pencil.,It's blue.,I'm Mia.,A
37,How are you?,"I'm fine, thank you.",Nice to meet you.,Goodbye.,A
38,Nice to meet you.,"Nice to meet you, too.",Thank you.,Try again.,A
39,What color is it?,It's black.,It's a black pen.,"Yes, it is.",A
40,Is it a small bird?,"Yes, it is.","Yes, I can.","No, she isn't.",A
41,What can you do?,I can write.,He can read.,I am a student.,A
42,Can you swim?,"No, I can't.",I can swim.,"Yes, she is.",A
43,Who's she?,She's my grandmother.,He's my grandfather.,She is tall.,A
44,Is he a doctor?,"No, he isn't.","No, she isn't.","Yes, I am.",A
45,Is she a student?,"Yes, she is.","Yes, I am.","No, he's not.",A
46,What's your name?,My name is Rocky.,I'm nine.,He is Rocky.,A
47,How old are you?,I'm six.,I'm fine.,It's six.,A
48,What's that?,It's a ruler.,I'm Abu.,It's green.,A
49,Is he your brother?,"Yes, he is.","Yes, she is.",I'm his brother.,A
50,What can you do?,I can jump.,She can jump.,It's a big cat.,A
