id,question,A,B,C,Answerkey
1,apple,a,e,i,A
2,bear,b,d,p,A
3,cat,c,g,k,A
4,dog,d,b,t,A
5,egg,e,a,i,A
6,fish,f,v,h,A
7,gorilla,g,j,c,A
8,horse,h,f,n,A
9,insect,i,e,o,A
10,jet,j,g,y,A
11,kangaroo,k,c,t,A
12,lion,l,n,m,A
13,monkey,m,n,w,A
14,nut,n,m,l,A
15,octopus,o,a,u,A
16,peach,p,b,d,A
17,queen,q,k,p,A
18,rabbit,r,l,n,A
19,seal,s,z,c,A
20,turtle,t,d,b,A
21,umbrella,u,o,a,A
22,van,v,f,b,A
23,wolf,w,m,v,A
24,x-ray,x,v,s,A
25,yo-yo,y,j,i,A
26,zipper,z,s,x,A
27,alligator,a,o,u,A
28,banana,b,d,p,A
29,computer,c,k,g,A
30,duck,d,b,q,A
31,elephant,e,a,o,A
32,farm,f,v,h,A
33,gift,g,j,c,A
34,house,h,n,m,A
35,iguana,i,e,a,A
36,jacket,j,y,g,A
37,king,k,c,q,A
38,lemon,l,r,n,A
39,mouse,m,n,w,A
40,nose,n,m,h,A
41,ostrich,o,u,e,A
42,pineapple,p,b,q,A
43,quiz,q,k,c,A
44,robot,r,l,n,A
45,sun,s,z,x,A
46,teacher,t,d,b,A
47,uncle,u,o,a,A
48,violin,v,b,f,A
49,watch,w,m,v,A
50,zebra,z,s,x,A
